CNA Short Name,CVEs,CNA Cost
Patchstack,6441,"$4,276,888.41"
mitre,5880,"$3,904,378.80"
Linux,5196,"$3,450,195.96"
Wordfence,3886,"$2,580,342.86"
VulDB,3144,"$2,087,647.44"
GitHub_M,2176,"$1,444,885.76"
zdi,1257,"$834,660.57"
microsoft,1169,"$776,227.69"
adobe,787,"$522,575.87"
WPScan,747,"$496,015.47"
apple,673,"$446,878.73"
@huntr_ai,578,"$383,797.78"
ibm,561,"$372,509.61"
cisco,355,"$235,723.55"
intel,318,"$211,155.18"
oracle,307,"$203,851.07"
redhat,302,"$200,531.02"
icscert,301,"$199,867.01"
siemens,287,"$190,570.87"
qualcomm,273,"$181,274.73"
google_android,271,"$179,946.71"
jpcert,263,"$174,634.63"
Chrome,257,"$170,650.57"
INCIBE,241,"$160,026.41"
SamsungMobile,239,"$158,698.39"
dell,239,"$158,698.39"
apache,223,"$148,074.23"
huawei,207,"$137,450.07"
fortinet,206,"$136,786.06"
talos,196,"$130,145.96"
mozilla,193,"$128,153.93"
hackerone,191,"$126,825.91"
GitLab,186,"$123,505.86"
twcert,177,"$117,529.77"
sap,173,"$114,873.73"
Nozomi,139,"$92,297.39"
MediaTek,132,"$87,649.32"
TR-CERT,123,"$81,673.23"
drupal,118,"$78,353.18"
hpe,115,"$76,361.15"
qnap,109,"$72,377.09"
ivanti,107,"$71,049.07"
juniper,105,"$69,721.05"
Google_Devices,105,"$69,721.05"
autodesk,102,"$67,729.02"
Mattermost,101,"$67,065.01"
JetBrains,94,"$62,416.94"
ProgressSoftware,91,"$60,424.91"
CERT-PL,90,"$59,760.90"
OpenText,86,"$57,104.86"
nvidia,84,"$55,776.84"
palo_alto,82,"$54,448.82"
Rockwell,81,"$53,784.81"
HCL,81,"$53,784.81"
vmware,78,"$51,792.78"
CERTVDE,75,"$49,800.75"
OpenHarmony,72,"$47,808.72"
fedora,72,"$47,808.72"
lenovo,70,"$46,480.70"
AMD,67,"$44,488.67"
ABB,67,"$44,488.67"
schneider,66,"$43,824.66"
snyk,65,"$43,160.65"
INCD,64,"$42,496.64"
CERT-In,61,"$40,504.61"
ManageEngine,53,"$35,192.53"
Zoom,52,"$34,528.52"
jenkins,48,"$31,872.48"
f5,48,"$31,872.48"
Acronis,44,"$29,216.44"
Toshiba,43,"$28,552.43"
canonical,43,"$28,552.43"
SEC-VLab,43,"$28,552.43"
SolarWinds,43,"$28,552.43"
brocade,42,"$27,888.42"
synology,42,"$27,888.42"
Google,41,"$27,224.41"
Esri,40,"$26,560.40"
Zyxel,39,"$25,896.39"
tenable,38,"$25,232.38"
DIVD,37,"$24,568.37"
trendmicro,37,"$24,568.37"
VulnCheck,36,"$23,904.36"
wikimedia-foundation,34,"$22,576.34"
ASRG,34,"$22,576.34"
hp,34,"$22,576.34"
Splunk,33,"$21,912.33"
3DS,32,"$21,248.32"
suse,31,"$20,584.31"
HiddenLayer,31,"$20,584.31"
imaginationtech,31,"$20,584.31"
Joomla,30,"$19,920.30"
DEVOLUTIONS,30,"$19,920.30"
cisa-cg,30,"$19,920.30"
Checkmk,30,"$19,920.30"
Silabs,30,"$19,920.30"
Hitachi Energy,29,"$19,256.29"
elastic,29,"$19,256.29"
sonicwall,29,"$19,256.29"
eclipse,28,"$18,592.28"
JFROG,28,"$18,592.28"
Zabbix,28,"$18,592.28"
NCSC.ch,27,"$17,928.27"
Axis,27,"$17,928.27"
mongodb,26,"$17,264.26"
CyberDanube,26,"$17,264.26"
GitHub_P,25,"$16,600.25"
NI,24,"$15,936.24"
Go,24,"$15,936.24"
php,24,"$15,936.24"
freebsd,24,"$15,936.24"
HashiCorp,23,"$15,272.23"
AMZN,22,"$14,608.22"
rapid7,22,"$14,608.22"
Bitdefender,22,"$14,608.22"
symantec,22,"$14,608.22"
Perforce,21,"$13,944.21"
Arm,21,"$13,944.21"
certcc,20,"$13,280.20"
ConcreteCMS,20,"$13,280.20"
Moxa,20,"$13,280.20"
Citrix,20,"$13,280.20"
Arista,18,"$11,952.18"
zte,17,"$11,288.17"
zephyr,17,"$11,288.17"
kubernetes,16,"$10,624.16"
jci,16,"$10,624.16"
Xerox,16,"$10,624.16"
M-Files Corporation,16,"$10,624.16"
CPANSec,16,"$10,624.16"
Mautic,16,"$10,624.16"
Unisoc,15,"$9,960.15"
Zscaler,15,"$9,960.15"
PSF,15,"$9,960.15"
Octopus,15,"$9,960.15"
trellix,15,"$9,960.15"
SICK AG,15,"$9,960.15"
Absolute,15,"$9,960.15"
PostgreSQL,14,"$9,296.14"
Xiaomi,14,"$9,296.14"
Baxter,14,"$9,296.14"
ZUSO ART,13,"$8,632.13"
HITVAN,13,"$8,632.13"
Kaspersky,13,"$8,632.13"
Honeywell,13,"$8,632.13"
Vivo,12,"$7,968.12"
OX,12,"$7,968.12"
atlassian,12,"$7,968.12"
Hitachi,12,"$7,968.12"
Mitsubishi,12,"$7,968.12"
Fortra,12,"$7,968.12"
blackberry,12,"$7,968.12"
Gallagher,12,"$7,968.12"
Honor,12,"$7,968.12"
WatchGuard,12,"$7,968.12"
OTRS,11,"$7,304.11"
OpenVPN,11,"$7,304.11"
Microchip,11,"$7,304.11"
AMI,11,"$7,304.11"
ESET,11,"$7,304.11"
TECNOMobile,11,"$7,304.11"
Fluid Attacks,11,"$7,304.11"
Eaton,11,"$7,304.11"
VULSec,11,"$7,304.11"
GRAFANA,10,"$6,640.10"
tibco,10,"$6,640.10"
Hanwha_Vision,10,"$6,640.10"
Document Fdn.,10,"$6,640.10"
NCSC-NL,10,"$6,640.10"
BT,10,"$6,640.10"
BlackDuck,10,"$6,640.10"
Ping Identity,10,"$6,640.10"
Gridware,10,"$6,640.10"
KoreLogic,10,"$6,640.10"
RTI,10,"$6,640.10"
Liferay,9,"$5,976.09"
Lexmark,9,"$5,976.09"
XEN,9,"$5,976.09"
HeroDevs,9,"$5,976.09"
GandC,9,"$5,976.09"
PandoraFMS,9,"$5,976.09"
Solidigm,9,"$5,976.09"
Sonatype,9,"$5,976.09"
curl,9,"$5,976.09"
GEHC,9,"$5,976.09"
PlexTrac,8,"$5,312.08"
ASUS,8,"$5,312.08"
cirosec,8,"$5,312.08"
NEC,8,"$5,312.08"
Pega,8,"$5,312.08"
samsung.tv_appliance,8,"$5,312.08"
openssl,8,"$5,312.08"
Docker,8,"$5,312.08"
isc,7,"$4,648.07"
facebook,7,"$4,648.07"
dahua,7,"$4,648.07"
PureStorage,7,"$4,648.07"
Canon,7,"$4,648.07"
SN,7,"$4,648.07"
netapp,7,"$4,648.07"
upKeeper,7,"$4,648.07"
wolfSSL,7,"$4,648.07"
ENISA,6,"$3,984.06"
NLOK,6,"$3,984.06"
avaya,6,"$3,984.06"
ERIC,6,"$3,984.06"
TV,6,"$3,984.06"
glibc,6,"$3,984.06"
GovTech CSG,6,"$3,984.06"
Carrier,6,"$3,984.06"
Yugabyte,5,"$3,320.05"
Sophos,5,"$3,320.05"
PaperCut,5,"$3,320.05"
Okta,5,"$3,320.05"
Cato,5,"$3,320.05"
Zowe,5,"$3,320.05"
Phoenix,5,"$3,320.05"
sba-research,5,"$3,320.05"
Checkmarx,5,"$3,320.05"
checkpoint,5,"$3,320.05"
Payara,5,"$3,320.05"
TianoCore,5,"$3,320.05"
redhat-cnalr,4,"$2,656.04"
N-able,4,"$2,656.04"
Secomea,4,"$2,656.04"
NCSC-FI,4,"$2,656.04"
YokogawaGroup,4,"$2,656.04"
STAR_Labs,4,"$2,656.04"
KNIME,4,"$2,656.04"
SailPoint,4,"$2,656.04"
netflix,4,"$2,656.04"
Pentraze,4,"$2,656.04"
NLnet Labs,4,"$2,656.04"
LGE,4,"$2,656.04"
ONEKEY,4,"$2,656.04"
flexera,4,"$2,656.04"
Logitech,3,"$1,992.03"
Supermicro,3,"$1,992.03"
XI,3,"$1,992.03"
WDC PSIRT,3,"$1,992.03"
SNPS,3,"$1,992.03"
hikvision,3,"$1,992.03"
Mandiant,3,"$1,992.03"
Proofpoint,3,"$1,992.03"
ClickHouse,3,"$1,992.03"
Milestone,3,"$1,992.03"
ChromeOS,3,"$1,992.03"
Palantir,3,"$1,992.03"
Panasonic_Holdings_Corporation,3,"$1,992.03"
FSOFT,3,"$1,992.03"
forcepoint,3,"$1,992.03"
WSO2,3,"$1,992.03"
Philips,3,"$1,992.03"
Anolis,3,"$1,992.03"
OMRON,3,"$1,992.03"
Dfinity,3,"$1,992.03"
Netskope,3,"$1,992.03"
SWI,3,"$1,992.03"
cloudflare,2,"$1,328.02"
Delinea,2,"$1,328.02"
Nokia,2,"$1,328.02"
TXOne,2,"$1,328.02"
CyberArk,2,"$1,328.02"
odoo,2,"$1,328.02"
arcinfo,2,"$1,328.02"
JAMF,2,"$1,328.02"
Salesforce,2,"$1,328.02"
1E,2,"$1,328.02"
Zohocorp,2,"$1,328.02"
rami.io,2,"$1,328.02"
Forescout,2,"$1,328.02"
Synaptics,2,"$1,328.02"
naver,2,"$1,328.02"
dotCMS,2,"$1,328.02"
ODA,2,"$1,328.02"
Tcpdump,2,"$1,328.02"
OPPO,2,"$1,328.02"
CoolKit,2,"$1,328.02"
Canon_EMEA,2,"$1,328.02"
Omnissa,2,"$1,328.02"
AHA,2,"$1,328.02"
bizerba,2,"$1,328.02"
Hillstone,2,"$1,328.02"
SK-CERT,2,"$1,328.02"
Deltaww,2,"$1,328.02"
EDB,1,$664.01
Replicated,1,$664.01
ICT,1,$664.01
Baicells,1,$664.01
Snow,1,$664.01
Dragos,1,$664.01
directcyber,1,$664.01
HYPR,1,$664.01
THA-PSIRT,1,$664.01
bosch,1,$664.01
LY-Corporation,1,$664.01
crafter,1,$664.01
securin,1,$664.01
seal,1,$664.01
TQtC,1,$664.01
openEuler,1,$664.01
WindRiver,1,$664.01
Swift,1,$664.01
BECLS,1,$664.01
BLSOPS,1,$664.01
Temporal,1,$664.01
CrowdStrike,1,$664.01
ATIS,1,$664.01
yandex,1,$664.01
Gitea,1,$664.01
Genetec,1,$664.01
tlt_net,1,$664.01
9front,1,$664.01
FSI,1,$664.01
Wiz,1,$664.01
BD,1,$664.01
Tigera,1,$664.01
krcert,1,$664.01
SoftIron,1,$664.01
Roche,1,$664.01
Opera,1,$664.01
